Co_Code,Equity_Paid_Up,Networth,Capital_Employed,Total_Debt,Gross_Block,Net_Working_Capital,Current_Assets,Current_Liabilities_and_Provisions,Total_Assets_by_Liabilities,Gross_Sales,Net_Sales,Other_Income,Value_Of_Output,Cost_of_Production,Selling_Cost,PBIDT,PBDT,PBIT,PBT,PAT,Adjusted_PAT,CP,Revenue_earnings_in_forex,Revenue_expenses_in_forex,Capital_expenses_in_forex,Book_Value_Unit_Curr,Book_Value_Adj_Unit_Curr,Market_Capitalisation,CEPS_annualised_Unit_Curr,Cash_Flow_From_Operating_Activities,Cash_Flow_From_Investing_Activities,Cash_Flow_From_Financing_Activities,ROG-Net_Worth_perc,ROG-Capital_Employed_perc,ROG-Gross_Block_perc,ROG-Gross_Sales_perc,ROG-Net_Sales_perc,ROG-Cost_of_Production_perc,ROG-Total_Assets_perc,ROG-PBIDT_perc,ROG-PBDT_perc,ROG-PBIT_perc,ROG-PBT_perc,ROG-PAT_perc,ROG-CP_perc,ROG-Revenue_earnings_in_forex_perc,ROG-Revenue_expenses_in_forex_perc,ROG-Market_Capitalisation_perc,Current_Ratio_Latest,Fixed_Assets_Ratio_Latest,Inventory_Ratio_Latest,Debtors_Ratio_Latest,Total_Asset_Turnover_Ratio_Latest,Interest_Cover_Ratio_Latest,PBIDTM_perc_Latest,PBITM_perc_Latest,PBDTM_perc_Latest,CPM_perc_Latest,APATM_perc_Latest,Debtors_Velocity_Days,Creditors_Velocity_Days,Inventory_Velocity_Days,Value_of_Output_by_Total_Assets,Value_of_Output_by_Gross_Block,default
7282.0,3.72,22.91,22.91,0.0,2.46,18.94,19.77,0.83,23.74,8.74,8.74,1.21,8.83,7.68,0.05,1.45,1.44,1.19,1.18,0.94,0.92,1.2,6.63,0.5,0.0,61.59,61.59,7.25,3.23,0.47,-0.13,0.0,2.14,2.09,-32.5875,4.8,4.8,0.39,3.8,70.59,71.43,91.94,93.44,135.0,90.48,56.959999999999994,-76.4,237.875,39.3325,4.28,21.68,3.06,0.48,59.75,15.84,14.19,15.58,-15.4,-117.12,54.0,7.0,32.0,0.48,2.5,0.0
4933.0,4.99,12.86,17.25,4.39,12.67,4.57,6.15,1.58,18.83,18.64,18.64,0.33,18.64,9.26,0.0,2.53,2.06,1.46,0.99,0.3,0.24,1.37,0.0,0.0,0.0,25.77,25.77,4.21,2.75,1.32,-0.67,-0.39,2.47,-0.63,-2.01,14.71,14.71,16.33,2.11,-11.85,-10.43,64.04,209.38,-50.82,-47.1,0.0,0.0,0.0,1.15,1.69,0.0,4.89,1.08,1.79,10.52,4.82,7.81,7.72,2.03,69.0,21.0,0.0,1.02,1.67,0.0
2401.0,25.3,1829.0825,3634.915,1572.6100000000001,1409.325,827.735,2014.74,1021.03,4568.7300000000005,2845.3725,2780.14,78.80250000000001,2803.74,1981.6799999999998,74.97999999999999,455.5025,290.01750000000004,365.68,219.055,171.6925,153.3,231.39,360.725,304.665,11.3225,23.23,23.23,3984.7225,2.55,229.84,-143.6425,-130.235,0.42,-3.43,3.98,4.29,3.85,-6.29,-10.58,-11.62,-15.73,-24.92,-51.4,-67.52,-21.38,-60.9075,-76.4,237.875,0.83,1.92,3.78,3.13,1.25,2.08,9.44,6.29,6.42,5.48,2.33,110.0,77.0,188.0,0.87,1.88,0.0
33638.0,131.24,235.31,386.59,150.36,185.55,97.07,185.09,88.01,474.61,2845.3725,2780.14,0.56,2803.74,1981.6799999999998,7.98,42.34,23.21,25.81,6.68,3.6,3.6,20.13,0.0,0.11,0.0,32.94,32.94,0.0,2.8,-14.15,13.9975,52.332499999999996,13.21,13.44,51.365,12.16,12.15,13.9,19.55,24.71,18.18,40.65,65.35,41.73,10.97,0.0,-76.4,0.0,2.15,7.18,58.0325,10.1,1.67,3.05,5.38,3.96,4.08,3.83,2.41,23.0,20.0,10.0,1.86,7.71,0.0
1778.0,0.64,21.36,53.83,32.41,0.01,9.95,15.58,5.63,59.46,99.28,99.28,0.29,100.88,87.63,0.0,13.06,8.28,13.06,8.28,6.76,6.52,6.76,0.0,0.0,0.0,349.655,298.0875,0.0,59.3,-5.43,13.9975,-4.78,90.2075,-3.04,0.0,227.41,227.41,225.93,-11.78,347.0375,350.0,371.66499999999996,372.3775,422.025,347.1275,0.0,0.0,0.0,1.04,54.6675,1.09,2.42,0.11,2.81,72.23249999999999,66.4725,57.9775,48.2475,40.692499999999995,1.0,0.0,73.0,0.11,57.9625,0.0
6961.0,0.15,7.45,7.45,0.0,0.0,1.26,1.42,0.16,7.61,0.24,0.24,0.0,0.24,0.08,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,349.655,10.42,0.0,-0.67,-0.17,0.69,0.0,-0.13,-0.13,0.0,9.09,9.09,60.0,0.93,-100.0,-100.0,-100.0,-100.0,-116.67,-116.67,0.0,0.0,0.0,39.3325,0.0,0.0,1.7,0.05,0.0,2.56,2.56,2.56,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
67803.75,3.43,4.11,4.11,0.0,0.01,3.73,3.75,0.02,4.13,0.8,0.8,0.0,1.03,0.63,0.0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,11.99,11.99,0.0,0.06,-3.34,-0.21,3.82,90.2075,73.77,0.0,227.41,227.41,225.93,64.1575,-40.0,-40.0,-40.0,-40.0,-50.0,-50.0,0.0,0.0,0.0,39.3325,54.6675,14.96,7.82,0.41,0.0,8.72,8.72,8.72,5.81,5.81,0.0,0.0,67.0,0.58,57.9625,0.0
5645.0,1.5,54.67,184.39,119.85,89.66,-1.82,17.21,19.02,203.41,42.67,42.67,1.01,42.52,36.17,1.3,5.22,3.89,1.94,0.61,0.47,0.47,3.75,16.18,0.28,11.3225,349.655,298.0875,0.0,59.3,-1.57,-143.6425,52.332499999999996,-0.35,16.55,0.79,-11.33,-11.33,0.36,19.25,1.36,18.6,-18.83,17.31,-18.97,12.28,56.959999999999994,122.18,0.0,0.93,0.34,5.73,9.97,0.28,-0.41,6.37,-12.17,-90.795,-10.49,-117.12,40.0,60.0,92.0,0.28,0.34,0.0
6805.0,1.58,48.51,55.8,0.01,0.0,38.92,38.98,0.07,55.88,0.0,0.0,0.03,0.0,0.0,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,349.655,298.0875,0.0,-0.06,0.0,0.0,0.0,-0.02,-0.43,0.0,0.0,0.0,0.0,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.25,0.0,0.0,0.0,0.0
2980.0,1.04,1.32,1.32,0.0,0.08,1.19,1.89,0.69,2.01,1.79,1.79,0.04,1.79,0.8,0.16,0.56,0.56,0.55,0.55,0.38,0.38,0.39,0.0,0.0,0.0,12.65,12.65,0.0,3.75,0.07,0.0,-0.08,90.2075,73.77,0.0,-3.76,-3.76,26.98,32.24,-26.32,-26.32,-27.63,-27.63,-33.33,-31.58,0.0,0.0,0.0,3.97,5.75,5.24,10.89,1.49,-6.7075,-16.43,-18.84,-16.91,-16.91,-117.12,70.0,89.0,85.0,1.36,8.12,0.0
1862.0,3.0,26.75,26.75,0.0,3.75,5.95,8.46,2.51,29.26,1.61,1.61,1.87,1.61,0.34,0.02,2.86,2.86,2.69,2.69,2.15,0.67,2.32,0.0,0.0,0.0,89.17,89.17,0.0,7.73,5.92,-3.41,0.0,8.74,8.74,-1.57,-3.59,-3.59,3.03,10.29,108.76,108.76,126.05,126.05,121.65,101.74,0.0,0.0,0.0,39.3325,0.27,0.0,0.0,0.04,0.0,34.65,18.81,34.65,15.84,0.0,0.0,0.0,0.0,0.05,0.27,0.0
1587.0,1.44,2.77,3.45,0.68,0.0,0.4,0.43,0.03,3.48,1.48,1.48,0.0,1.27,0.92,0.01,0.32,0.27,0.32,0.27,0.15,0.15,0.15,0.0,0.0,0.0,19.26,19.26,0.0,1.04,0.4,-0.47,0.06,5.32,6.15,0.0,227.41,227.41,225.93,6.75,146.15,350.0,146.15,372.3775,66.67,66.67,0.0,0.0,0.0,39.3325,0.0,1.53,0.0,0.23,1.4,8.54,8.54,2.44,7.32,7.32,0.0,0.0,163.0,0.26,0.0,0.0
5723.0,2.09,9.74,9.83,0.0,1.01,2.35,2.71,0.36,10.19,0.16,0.16,0.4,0.16,0.3,0.0,0.17,0.17,0.17,0.17,0.1,-0.01,0.1,0.0,0.0,0.0,46.59,46.59,0.0,0.48,-0.31,0.04,0.0,1.04,-0.61,-1.94,-73.185,-73.1725,11.11,-1.16,-67.92,-67.92,-66.67,-66.67,-73.68,-75.0,0.0,0.0,0.0,39.3325,0.4,1.48,0.0,0.04,0.0,72.23249999999999,66.4725,57.9775,48.2475,40.692499999999995,0.0,0.0,324.75,0.04,0.39,0.0
19916.0,1.0,-0.18,0.67,0.2,0.0,-0.09,0.03,0.13,0.8,0.02,0.02,0.0,0.02,0.03,0.0,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,0.0,0.0,0.0,-1.8,-1.8,0.0,-0.6,-0.07,0.0,0.07,-55.6275,1.52,0.0,0.0,0.0,0.0,3.9,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,1.0
4395.0,3.11,18.97,19.12,0.13,8.65,5.09,5.39,0.29,19.41,1.81,1.81,0.41,1.81,1.44,0.02,0.94,0.9,0.64,0.6,0.43,0.4,0.73,0.0,0.0,0.0,61.03,61.03,2.86,2.35,0.72,0.37,-0.34,2.32,0.53,51.365,-20.26,-20.26,-10.0,0.52,-12.96,-11.76,-14.67,-13.04,-12.24,-10.98,0.0,-76.4,0.0,39.3325,0.14,10.17,3.3,0.06,5.0,41.8,20.49,57.9775,48.2475,12.3,715.25,19.0,38.0,0.06,0.23,0.0
7773.0,9.69,83.36,83.55,0.0,4.42,12.3,20.69,8.38,91.93,36.84,36.84,0.01,36.84,2.48,0.0,30.39,30.27,30.06,219.055,171.6925,153.3,24.56,0.0,0.0,0.0,86.05,86.05,47.48,59.3,28.26,-143.6425,-2.36,90.2075,35.74,4.99,227.41,227.41,19.81,64.1575,347.0375,350.0,371.66499999999996,372.3775,422.025,347.1275,0.0,0.0,104.13,4.31,4.97,0.0,45.832499999999996,0.24,59.75,72.23249999999999,66.4725,57.9775,48.2475,40.692499999999995,2.0,171.0,0.0,0.28,5.23,0.0
2004.0,25.49,240.52,3634.915,1572.6100000000001,1409.325,-11.945,28.6,1021.03,4568.7300000000005,50.51,50.51,0.6,50.51,51.95,2.05,-1.57,-17.872500000000002,-10.834999999999999,-32.7575,-30.575,-29.557499999999997,-15.585,16.12,0.28,0.0,18.87,18.87,3984.7225,-7.475,229.84,0.76,-130.235,-55.6275,-19.81,-0.39,-73.185,-73.1725,-66.4,-4.3,98.33,23.03,72.93,18.3,18.03,22.77,56.959999999999994,-76.4,237.875,0.03,0.07,0.0,10.49,0.04,0.23,72.23249999999999,66.4725,-90.795,-87.21249999999999,-117.12,715.25,615.25,0.0,0.03,0.07,0.0
67803.75,0.42,10.8,11.52,0.65,0.25,0.51,0.52,0.01,11.53,0.27,0.27,0.07,0.22,0.17,0.0,0.13,0.12,0.08,0.07,0.06,0.02,0.11,0.0,0.0,0.0,349.655,298.0875,0.0,2.62,-0.29,-0.15,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.73,0.0,0.0,0.01,0.0,25.0,-6.25,25.0,48.2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3976.0,6.5,53.95,93.49,38.87,25.47,75.14,116.48,41.33,134.82,16.42,16.42,1.28,28.02,11.15,0.49,3.18,2.64,2.08,1.54,1.44,1.44,2.54,0.0,0.0,0.0,83.04,41.52,17.02,3.71,-12.22,-0.78,52.332499999999996,1.22,16.98,51.365,-73.185,-73.1725,-35.88,12.09,-8.62,-6.05,-12.61,-9.94,-3.36,-1.93,0.0,0.0,-1.16,1.86,1.04,0.27,2.07,0.26,4.23,20.6,17.51,16.46,13.98,10.89,715.25,615.25,0.0,0.24,1.68,0.0
12381.0,10.85,-16.4,2.78,19.18,7.91,-0.6,0.61,1.21,3.99,0.0,0.0,0.33,0.0,0.38,0.0,0.01,0.01,-0.15,-0.15,-0.15,-0.15,0.01,0.0,0.0,0.0,-15.12,-15.12,0.0,0.01,-0.15,0.04,0.12,-0.86,-0.71,-0.25,0.0,0.0,-11.63,-1.24,102.22,102.22,77.27,77.27,77.27,102.22,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,-6.7075,0.0,0.0,0.0,0.0,0.0,0.0,615.25,324.75,0.0,0.0,1.0
37064.0,11.6,21.3,21.91,0.55,0.05,0.32,0.38,0.06,21.97,1.31,1.31,0.0,1.31,0.46,0.08,0.12,0.12,0.1,0.1,0.06,0.06,0.08,0.0,0.0,0.0,18.36,18.36,18.91,0.07,0.0,1.32,-1.38,0.28,2.91,0.0,27.18,27.18,12.2,3.05,-29.41,-29.41,-41.18,-41.18,-45.45,-27.27,0.0,0.0,-41.0825,3.46,10.73,0.0,0.0,0.07,0.0,4.35,2.48,4.35,2.48,0.62,0.0,3.0,0.0,0.07,10.67,0.0
44041.0,16.0,107.13,131.3,22.24,60.64,98.95,193.79,94.84,226.14,185.33,185.33,0.65,215.08,109.31,74.97999999999999,35.38,30.72,30.99,219.055,171.6925,153.3,231.39,4.77,0.94,0.0,66.94,66.94,188.05,18.62,5.93,-2.16,-4.41,90.2075,23.37,51.365,7.67,7.67,24.71,19.08,3.33,1.86,4.77,3.25,4.53,2.87,56.959999999999994,122.18,20.27,1.8,1.91,1.25,3.49,0.86,2.72,17.39,15.6,11.65,11.38,9.59,79.0,108.0,324.75,0.66,2.83,0.0
1741.0,8.0,37.0,72.34,34.04,71.68,28.37,51.87,23.5,95.84,194.38,173.84,3.72,174.03,161.63,3.43,11.87,4.41,8.5,1.04,1.44,1.41,4.81,0.0,11.92,11.3225,4.63,4.63,10.16,0.6,10.33,-1.8,-8.27,3.73,-4.2,2.59,-8.74,-8.71,-7.65,-2.39,18.34,135.83,51.25,140.94,422.025,42.73,-60.9075,122.18,-0.78,1.08,2.83,8.46,9.56,2.68,1.25,6.13,4.48,2.54,2.46,0.81,42.0,27.0,43.0,1.88,2.69,0.0
24105.0,0.91,2.08,6.39,1.35,6.49,4.64,9.34,4.69,11.08,0.0,0.0,5.94,0.0,2.17,0.48,-0.87,-0.88,-1.03,-1.04,-1.22,-0.24,-1.06,0.0,0.0,0.0,22.89,22.89,0.0,-11.65,0.02,0.33,-0.01,-55.6275,-9.75,11.13,0.0,0.0,7.96,-5.3,-200.0,-313.59749999999997,-250.0,-513.9475,-185.92,-321.73749999999995,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.25,0.0,0.0,0.0,0.0
23.0,131.24,1829.0825,3634.915,1572.6100000000001,1409.325,827.735,2014.74,1021.03,4568.7300000000005,2845.3725,2780.14,78.80250000000001,2803.74,1981.6799999999998,74.97999999999999,455.5025,290.01750000000004,365.68,219.055,171.6925,153.3,231.39,360.725,304.665,11.3225,64.18,64.18,3984.7225,17.11,229.84,-143.6425,-130.235,19.4,2.72,2.63,2.84,2.93,-2.6,0.5,21.9,36.92,28.33,52.03,45.74,29.13,56.959999999999994,-76.4,6.67,0.8,1.56,7.22,45.832499999999996,1.53,59.75,14.77,11.87,13.84,10.99,8.09,10.0,36.0,66.0,1.15,1.54,0.0
1648.0,13.62,152.24,287.52,129.42,252.78,91.93,132.41,40.48,328.0,203.63,203.63,2.62,206.23,145.44,9.11,37.79,17.93,25.89,6.03,3.45,3.45,15.35,360.725,304.665,11.3225,111.74,111.74,65.97,11.08,229.84,-143.6425,-6.55,1.2,6.03,51.365,5.57,5.01,4.83,0.14,3.82,-9.08,10.88,-9.6,-54.78,-25.77,56.959999999999994,-76.4,42.36,1.1,0.85,6.69,3.63,0.81,2.46,21.31,16.15,14.76,11.38,6.22,103.0,54.0,136.0,0.7,0.95,0.0
12258.0,7.33,10.44,10.44,0.0,0.01,6.39,6.41,0.02,10.46,5.61,5.61,0.0,5.6,4.93,0.01,0.59,0.59,0.59,0.59,0.46,0.46,0.46,0.0,0.0,0.0,14.25,14.25,6.32,0.63,-4.33,4.48,0.0,4.5,4.5,0.0,19.11,19.11,8.83,4.7,347.0375,350.0,371.66499999999996,372.3775,422.025,347.1275,0.0,0.0,0.0,39.3325,54.6675,58.0325,0.0,0.1,0.0,9.26,9.26,9.26,4.63,4.63,0.0,0.0,1.0,0.1,57.9625,0.0
7302.0,5.26,6.35,11.65,5.3,2.61,8.87,12.57,3.7,15.35,38.44,38.44,0.04,36.81,35.7,0.0,1.22,0.39,1.03,0.2,0.11,0.11,0.3,0.0,4.95,0.0,12.07,12.07,7.86,0.57,1.95,-0.38,-0.55,1.76,-3.64,15.49,-19.73,-19.73,-25.61,25.2,9.91,62.5,-5.5,-9.09,0.0,130.77,0.0,122.18,-21.56,1.48,54.6675,12.14,7.43,3.54,1.29,2.84,2.39,0.98,0.82,0.37,53.0,19.0,8.0,2.5175,57.9625,0.0
1083.0,131.24,-11.6975,-150.04,1572.6100000000001,1409.325,-11.945,85.94,1021.03,216.2,0.0,0.0,3.17,-3.57,24.37,0.09,-12.4,-17.872500000000002,-22.84,-32.7575,-30.575,-29.557499999999997,-15.585,0.0,0.0,0.0,-78.96,-13.567499999999999,6.41,-2.68,229.84,0.05,-130.235,-5.45,-27.09,-0.05,0.0,0.0,3.35,-5.93,48.68,62.47,33.99,53.35,53.35,62.47,0.0,0.0,-33.09,0.11,0.0,0.0,0.0,0.0,-2.93,0.0,0.0,0.0,0.0,0.0,0.0,615.25,324.75,0.0,0.0,1.0
830.0,16.8,-1.16,-1.16,0.0,0.15,-1.2,0.17,1.37,0.21,0.08,0.08,0.0,0.08,0.03,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.69,-0.69,5.46,-0.01,0.0,0.0,0.0,-0.87,-0.87,0.0,-73.185,-73.1725,-66.4,-22.22,-102.86,-102.86,-102.86,-102.86,-103.57,-103.57,0.0,0.0,-59.94,0.04,0.0,0.0,0.0,0.0,0.0,34.62,34.62,34.62,48.2475,40.692499999999995,91.0,0.0,0.0,1.63,3.47,1.0
7143.0,3.7,4.68,6.68,2.0,0.0,0.08,0.26,0.17,6.85,0.16,0.16,0.59,0.16,0.18,0.02,0.32,0.14,0.32,0.14,0.1,0.1,0.1,0.0,0.0,0.0,12.65,12.65,0.0,0.27,0.25,13.9975,-11.39,2.41,73.77,0.0,-73.185,-73.1725,-66.4,64.1575,-37.25,-22.22,-37.25,-22.22,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,45.832499999999996,0.37,1.43,72.23249999999999,66.4725,24.46,21.74,40.692499999999995,23.0,137.0,0.0,0.37,0.0,0.0
3173.0,34.81,265.46,3634.915,1572.6100000000001,98.62,827.735,2014.74,1021.03,4568.7300000000005,2845.3725,2780.14,78.80250000000001,2803.74,1981.6799999999998,74.97999999999999,455.5025,290.01750000000004,365.68,219.055,171.6925,153.3,231.39,1.8,5.2,0.0,7.63,3.82,204.65,0.91,14.28,-143.6425,-130.235,11.59,-13.0,6.55,7.57,7.57,-1.41,6.97,6.35,8.29,4.48,3.68,4.03,9.73,0.0,0.0,-14.04,1.22,54.6675,6.76,5.01,2.76,1.75,3.54,3.33,1.64,1.46,1.25,72.0,24.0,79.0,2.55,57.9625,0.0
2278.0,16.2,146.84,375.44,1572.6100000000001,1409.325,104.65,172.64,67.99,443.43,2845.3725,2780.14,1.71,2803.74,1981.6799999999998,74.97999999999999,455.5025,290.01750000000004,365.68,219.055,171.6925,153.3,231.39,360.725,304.665,11.3225,90.2,90.2,237.02,59.3,229.84,-143.6425,-130.235,17.61,6.15,51.365,25.58,24.78,25.19,7.59,18.18,15.8,8.63,-0.65,-5.99,13.05,-60.9075,-76.4,237.875,1.09,1.93,8.49,12.97,1.89,4.11,11.88,8.91,9.72,7.34,4.36,23.0,21.0,49.0,1.58,2.16,0.0
